G70035	35	33
G70195	209	197
G70254	267	253
G70298	314	294
G70512	542	511
G70547	582	548
G70839	899	846
G70886	948	891
G70890	952	894
G70928	993	933
G70937	1003	942
G70952	1018	957
G71019	1099	1024
G71196	1301	1199
G71401	1528	1401
G71765	1938	1773
G72263	2495	3134
G72441	2686	2456
G72476	2725	5601
G73121	3448	3134
G73243	3588,3589	3360
G73369	3735	3496
G73432	3806	3561
G73502	3883	3633
G73766	4180	3897
G73807	4225	3936
G73926	4357	4054
G74078	4523	4208
G74234	4703	4366
G74303	4780	4437
G74394	4887	4530
G74523	5034	4661
G74571	5084	4712
G74781	5317	4921
G75000	5563	5150
G75004	5567	5154
G75243	5828	5399
G75431	6032	5589
