！G70035	35	33	ἄγε	pos: V<br />bdag-headword: ἄγε<br />danker-entry: ἄγε
G72335	2571	θορυβάζω	pos: V<br />bdag-headword: θορυβάζω<br />danker-entry: θορυβάζω<br />mounce-headword: θορυβάζω<br />gk: 2571<br />mounce-morphcat: v-2a(1)
G72395	2638	ἱερόθυτος	pos: A<br />full-citation-form: ἱερόθυτος, ον<br />bdag-headword: ἱερόθυτος<br />danker-entry: ἱερόθυτος, ον<br />mounce-headword: ἱερόθυτος<br />gk: 2638<br />mounce-morphcat: a-3a
G72428	2672	ἱνατί	pos: D<br />bdag-headword: ἱνατί<br />danker-entry: ἱνατί<br />mounce-headword: ἱνατί<br />gk: 2672<br />mounce-morphcat: conj
G72444	2690	ἱππικόν	pos: A<br />full-citation-form: ἱππικός, ή, όν<br />danker-entry: ἱππικός, ή, όν<br />mounce-headword: ἱππικός<br />gk: 2690
G72449	2696	Ἰσκαριώθ	pos: N<br />full-citation-form: Ἰσκαριώθ<br />bdag-headword: Ἰσκαριώθ<br />danker-entry: Ἰσκαριώθ<br />mounce-headword: Ἰσκαριώθ<br />gk: 2696<br />mounce-morphcat: n-3g(2)
G72475	2725	Ἰωβήδ	pos: N<br />full-citation-form: Ἰωβήδ, ὁ<br />bdag-headword: Ἰωβήδ<br />danker-entry: Ἰωβήδ, ὁ<br />mounce-headword: Ἰωβήδ<br />gk: 2725<br />mounce-morphcat: n-3g(2)
G72477	2726	Ἰωδά	pos: N<br />full-citation-form: Ἰωδά, ὁ<br />bdag-headword: Ἰωδά<br />danker-entry: Ἰωδά, ὁ<br />mounce-headword: Ἰωδά<br />gk: 2726<br />mounce-morphcat: n-3g(2)
G72486	2738	Ἰωσήχ	pos: N<br />full-citation-form: Ἰωσήχ, ὁ<br />bdag-headword: Ἰωσήχ<br />danker-entry: Ἰωσήχ, ὁ<br />mounce-headword: Ἰωσήχ<br />gk: 2738<br />mounce-morphcat: n-3g(2)
G72517	2778	καθώσπερ	pos: C/ADV<br />bdag-headword: καθώσπερ<br />danker-entry: καθώσπερ<br />mounce-headword: καθώσπερ<br />gk: 2778<br />mounce-morphcat: adverb
G72565	2831	Καναναῖος	pos: N<br />full-citation-form: Καναναῖος, ου, ὁ<br />bdag-headword: Καναναῖος<br />danker-entry: Καναναῖος, ου, ὁ<br />mounce-headword: Καναναῖος<br />gk: 2831<br />mounce-morphcat: n-2a
G72583	2852	καταβαρύνομαι	pos: V<br />bdag-headword: καταβαρύνω<br />danker-entry: καταβαρύνω<br />mounce-headword: καταβαρύνω<br />gk: 2852<br />mounce-morphcat: cv-1c(2)
