—
,
;
;
.
·
·
’
(
)
[
]
⟦
⟧
⸄
⸅
⸁
᾿
1
2
α
Α
ἀ
Ἀ
ἄ
Ἄ
ᾄ
ἂ
ἆ
Ἆ
ἁ
Ἁ
ἅ
Ἅ
ᾅ
ἃ
Ἃ
ά
ά
ᾴ
ὰ
ᾶ
ᾷ
ᾳ
β
Β
γ
Γ
δ
Δ
ε
Ε
ἐ
Ἐ
ἔ
Ἔ
ἑ
Ἑ
ἕ
Ἕ
ἓ
Ἓ
έ
έ
ὲ
ζ
Ζ
η
Η
ἠ
Ἠ
ἤ
Ἤ
ᾔ
ἢ
Ἢ
ἦ
Ἦ
ᾖ
ᾐ
ἡ
Ἡ
ἥ
Ἥ
ἣ
ἧ
ᾗ
ᾑ
ή
ή
ῄ
ὴ
ῆ
ῇ
ῃ
θ
Θ
ι
ἰ
Ἰ
ἴ
Ἴ
ἶ
ἱ
Ἱ
ἵ
Ἵ
ἳ
ἷ
ί
ί
ὶ
ῖ
ϊ
ΐ
ῒ
κ
Κ
λ
Λ
μ
Μ
ν
Ν
ξ
Ξ
ο
Ο
ὀ
Ὀ
ὄ
Ὄ
ὂ
ὁ
Ὁ
ὅ
Ὅ
ὃ
Ὃ
ό
ό
ὸ
π
Π
ρ
Ρ
ῥ
Ῥ
σ
ς
Σ
τ
Τ
υ
Υ
ὐ
ὔ
ὒ
ὖ
ὑ
Ὑ
ὕ
Ὕ
ὓ
ὗ
Ὗ
ύ
ύ
ὺ
ῦ
ϋ
ΰ
ῢ
φ
Φ
χ
Χ
ψ
Ψ
ω
ὠ
ὤ
Ὤ
ὢ
ὦ
Ὦ
ᾠ
ὡ
Ὡ
ὥ
Ὥ
ὧ
Ὧ
ᾧ
ώ
ώ
ῴ
ὼ
ῶ
ῷ
ῳ
