G70190
G70266
G70355
『ἀναμάρτητος』	G75465
G70571
G70838
『αὐτόφωρος』	G75466
G70902
G71119
G71122
G71132
G71143
G71158
G71317
G71318
G71476
G71503
G71629
『Ἐλαιῶν』	G71631	ἐλαιών
G71774
G71823
G71902
G71955
G72057
G72296
G72396
G72508
G72518
G72579
G72618
G72626
G72704
G72718
G72942
G72949
G72981
G72989
G73023
G73201
G73252
G73303
G73304
G73315
G73422
『Νύμφας』	G73436	Νυμφᾶς
『ὀσφῦς』	G73624	ὀσφύς
G73634
G73635
G73697
G73725
G73856
G74068
『πραϋπάθια』	G74107	πραϋπαθία
G74114
『προσποιέω』	G74232	προσποιέομαι
『ῥεδή』	G74348	ῥέδη
『στοιχεῖα』	G74610	στοιχέω
G74631
G74958
『φαρμακός』	G75180	φάρμακος
『Χερούβ』	G75346	Χεροῦβ
