ἀκούω
ἁμαρτάνω
ἀνακύπτω
ἀναμάρτητος
ἀπό
αὐτός
αὐτόφωρος
βάλλω
γραμματεύς
γράφω
γυνή
δάκτυλος
δέ
διδάσκαλος
διδάσκω
ἐγώ
εἰμί
ἐλαία
Ἐλαιῶν
ἐντέλλομαι
ἐξέρχομαι
ἐπί
ἐπιμένω
ἐρωτάω
θεμέλιος
ἱερόν
καθίζω
καί
κατά
κατακρίνω
καταλείπω
κατηγορέω
κάτω
κύπτω
κύριος
λαός
λέγω
λίθος
μέσος
μηκέτι
μοιχεία
μοιχεύω
μόνος
νόμος
Νύμφας
ὀσφῦς
οὐδέ
οὐδείς
πάλιν
παραγίνομαι
πειράζω
πορεύομαι
πραϋπάθια
πρεσβύτερος
προσποιέω
ῥεδή
στοιχεῖα
σύ
τίς
φαρμακός
Χερούβ
