noun.com.NPN	noun, common, nominative, plural, neuter
noun.com.NSF	noun, common, nominative, singular, feminine
noun.com.NSM	noun, common, nominative, singular, masculine
noun.com.NSN	noun, common, nominative, singular, neuter
noun.com.VPF	noun, common, vocative, plural, feminine
noun.com.VPM	noun, common, vocative, plural, masculine
noun.com.VPN	noun, common, vocative, plural, neuter
noun.com.VSF	noun, common, vocative, singular, feminine
noun.com.VSM	noun, common, vocative, singular, masculine
noun.com.VSN	noun, common, vocative, singular, neuter
noun.pro.APF	noun, proper, accusative, plural, feminine
noun.pro.APM	noun, proper, accusative, plural, masculine
noun.pro.APN	noun, proper, accusative, plural, neuter
noun.pro.ASF	noun, proper, accusative, singular, feminine
noun.pro.ASM	noun, proper, accusative, singular, masculine
noun.pro.ASN	noun, proper, accusative, singular, neuter
noun.pro.DPF	noun, proper, dative, plural, feminine
noun.pro.DPM	noun, proper, dative, plural, masculine
noun.pro.DPN	noun, proper, dative, plural, neuter
noun.pro.DSF	noun, proper, dative, singular, feminine
noun.pro.DSM	noun, proper, dative, singular, masculine
noun.pro.DSN	noun, proper, dative, singular, neuter
noun.pro.GPF	noun, proper, genitive, plural, feminine
noun.pro.GPM	noun, proper, genitive, plural, masculine
noun.pro.GPN	noun, proper, genitive, plural, neuter
noun.pro.GSF	noun, proper, genitive, singular, feminine
noun.pro.GSM	noun, proper, genitive, singular, masculine
noun.pro.GSN	noun, proper, genitive, singular, neuter
noun.pro.NPM	noun, proper, nominative, plural, masculine
noun.pro.NPN	noun, proper, nominative, plural, neuter
noun.pro.NSF	noun, proper, nominative, singular, feminine
noun.pro.NSM	noun, proper, nominative, singular, masculine
noun.pro.NSN	noun, proper, nominative, singular, neuter
noun.pro.VPM	noun, proper, vocative, plural, masculine
noun.pro.VSF	noun, proper, vocative, singular, feminine
noun.pro.VSM	noun, proper, vocative, singular, masculine
num	numeral
prep	preposition
pron.dem.APF	pronoun, demonstrative, accusative, plural, feminine
pron.dem.APM	pronoun, demonstrative, accusative, plural, masculine
pron.dem.APN	pronoun, demonstrative, accusative, plural, neuter
pron.dem.ASF	pronoun, demonstrative, accusative, singular, feminine
pron.dem.ASM	pronoun, demonstrative, accusative, singular, masculine
pron.dem.ASN	pronoun, demonstrative, accusative, singular, neuter
pron.dem.DPF	pronoun, demonstrative, dative, plural, feminine
