192882	P
S
V
O
S
V
O
S
V
O
S
V
O
ADV
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
ADV
S
V
O
ADV
S
V
O
S
V
O
S
V
O
ADV
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
ADV
ADV
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
S
V
O
ADV
V
S
VC
P
S
P
S
P
S
P
S
P
VC
V
S
IO
ADV
V
S
V
O
ADV
V
ADV
S
ADV
P
VC
ADV
V
O
O
V
V
O
ADV
V
O
O
S
V
S
ADV
V
IO
ADV
V
ADV
V
O
V
O
O2
S
ADV
V
P
VC
V
O
V
O
O2
S
V
O
ADV
S
V
V
S
V
ADV
ADV
ADV
V
S
ADV
V
V
O
V
O
O2
S
VC
P
P
S
S
ADV
V
ADV
V
V
O
S
V
O
ADV
V
O
ADV
ADV
V
O
V
O
O2
S
V
ADV
ADV
S
ADV
V
ADV
ADV
V
P
VC
S
V
V
O
ADV
V
ADV
V
O
ADV
V
S
V
S
ADV
ADV
V
O
V
ADV
O
ADV
S
V
S
V
IO
ADV
ADV
V
ADV
S
ADV
P
VC
ADV
ADV
V
S
V
S
V
O
ADV
S
ADV
ADV
V
O
V
ADV
O
V
ADV
V
O
ADV
V
ADV
V
V
ADV
ADV
V
V
IO
S
ADV
V
V
O
S
ADV
V
O
V
S
O
V
ADV
V
O
ADV
V
V
ADV
P
VC
S
ADV
V
O
V
ADV
ADV
ADV
V
ADV
V
O
ADV
V
V
O
ADV
V
O
V
IO
O
ADV
V
ADV
O
ADV
V
ADV
ADV
V
ADV
V
S
S
V
ADV
IO
ADV
V
ADV
V
V
O
V
ADV
V
ADV
V
IO
V
S
O
V
O
ADV
V
O
S
ADV
V
V
O
ADV
V
ADV
VC
P
ADV
V
S
V
ADV
ADV
ADV
V
ADV
V
O
ADV
S
ADV
V
V
ADV
V
ADV
ADV
V
V
O
ADV
O
V
ADV
ADV
V
S
V
ADV
ADV
V
ADV
V
S
S
V
ADV
ADV
V
O
V
ADV
V
V
S
S
V
ADV
IO
ADV
ADV
V
ADV
V
V
O
V
ADV
V
S
V
O
S
ADV
V
V
O
V
ADV
ADV
V
S
V
ADV
ADV
V
O
ADV
V
ADV
V
ADV
V
ADV
ADV
V
V
ADV
VC
P
V
S
V
ADV
S
P
VC
ADV
V
S
ADV
V
ADV
V
V
V
S
S
VC
P
V
ADV
ADV
V
S
V
ADV
V
O
O2
V
O
S
V
O
ADV
O
ADV
S
VC
P
ADV
V
ADV
S
V
ADV
ADV
ADV
V
O
ADV
V
O
V
ADV
V
IO
S
V
IO
O
V
ADV
V
V
O
ADV
V
O
V
ADV
O2
V
O
V
IO
V
S
O
ADV
V
O
IO
ADV
S
ADV
V
S
ADV
V
O
V
ADV
V
S
O
V
ADV
ADV
S
ADV
V
P
ADV
VC
ADV
ADV
VC
P
ADV
O
V
S
O
V
ADV
S
P
V
O
V
O
ADV
O
V
ADV
ADV
V
S
ADV
ADV
ADV
ADV
V
ADV
S
V
O
ADV
V
S
O
V
ADV
ADV
V
S
V
ADV
ADV
V
S
V
ADV
V
ADV
ADV
P
V
VC
ADV
S
V
O
ADV
V
O
ADV
V
S
ADV
V
ADV
V
S
V
O
S
V
ADV
ADV
V
ADV
S
ADV
ADV
V
S
VC
P
ADV
V
ADV
S
V
ADV
ADV
ADV
V
ADV
ADV
V
ADV
ADV
V
ADV
V
S
V
V
IO
VC
P
V
S
P
VC
S
ADV
V
V
V
ADV
V
S
ADV
V
ADV
ADV
V
O
S
ADV
V
O
ADV
V
IO
VC
P
V
O
ADV
V
IO
V
ADV
ADV
V
O
V
ADV
O
V
IO
S
ADV
V
ADV
V
O
ADV
V
O
S
ADV
V
IO
O
V
IO
O
IO
V
ADV
V
V
O
ADV
V
IO
S
V
V
O
V
O
V
ADV
V
O
S
S
V
V
O
ADV
V
S
V
V
ADV
ADV
V
O
ADV
V
V
ADV
V
S
V
ADV
ADV
V
S
V
ADV
O
V
V
ADV
S
V
ADV
ADV
V
S
O
V
V
V
V
S
ADV
